text_form	form	lemma	pos
Ուրախ	ուրախ	ուրախ	A
եղէ	եղէ	եղանիմ	V
ի	ի	ի	I+Prep
մարմնաւոր	մարմնաւոր	մարմնաւոր	A
ազգակցութիւնդ	ազգակցութիւնդ	ազգակցութիւն@դ	N+Com@PRO+Dem
քո,	քո	դու	PRO+Per2s
եւ	եւ	եւ	I+Conj
աւրհնեցի	աւրհնեցի	աւրհնեմ	V
զՏէր․	զտէր	զ@տէր	I+Prep@N+Com
եւ	եւ	եւ	I+Conj
առաւել	առաւել	առաւել	I+Adv
խնդամ՝	խնդամ	խնդամ	V
թէ	թէ	եթե	I+Conj
հոգեւորիդ	հոգեւորիդ	հոգեւոր@դ	A@PRO+Dem
արժանացայց	արժանացայց	արժանանամ	V
առաքինութեան	առաքինութեան	առաքինութիւն	N+Com
եւ	եւ	եւ	I+Conj
ուղիղ	ուղիղ	ուղիղ	A
գիտութեան․	գիտութեան	գիտութիւն	N+Com
զի	զի	զի	I+Conj
առանց	առանց	առանց	I+Prep
դոցա	դոցա	դա	PRO+Dem
ոչ	ոչ	ոչ	I+Neg
միաւորիմք․	միաւորիմք	միաւորեմ	V
ո՛ր	որ	որ	PRO+Rel
է	է	եմ	V
գործովք	գործովք	գործ	N+Com
եւ	եւ	եւ	I+Conj
արդեամբք	արդեամբք	արդիւն	N+Com
եւ	եւ	եւ	I+Conj
խորհրդովք	խորհրդովք	խորհուրդ	N+Com
գիտութեան,	գիտութեան	գիտութիւն	N+Com
որ	որ	որ	PRO+Rel
եղեն	եղեն	եղանիմ	V
եւ	եւ	եւ	I+Conj
լինին։	լինին	լինիմ	V
Եղեն	եղեն	եղանիմ	V
հաւատովք,	հաւատովք	հաւատ	N+Com
եւ	եւ	եւ	I+Conj
լինին	լինին	լինիմ	V
մաքրութեամբ	մաքրութեամբ	մաքրութիւն	N+Com
սրտի․	սրտի	սիրտ	N+Com
զոր	զոր	զ@որ	I+Prep@PRO+Rel
կարելի	կարելի	կարելի	A
է	է	եմ	V
առնուլ	առնուլ	առնում	V
ի	ի	ի	I+Prep
գործոց,	գործոց	գործ	N+Com
որ	որ	որ	PRO+Rel
կատարին	կատարին	կատարեմ	V
ի	ի	ի	I+Prep
Քրիստոս	քրիստոս	Քրիստոս	N+Ant
հաւատոցն,	հաւատոցն	հաւատ@ն	N+Com@PRO+Dem
առանց	առանց	առանց	I+Prep
որոյ	որոյ	որ	PRO+Rel
ոչ	ոչ	ոչ	I+Neg
է	է	եմ	V
հնար	հնար	հնար	N+Com
հաճոյ	հաճոյ	հաճոյ	A
լինել	լինել	լինիմ	V
Աստուծոյ՝	աստուծոյ	աստուած	N+Com
ըստ	ըստ	ըստ	I+Prep
առաքելոյ,	առաքելոյ	առաքեմ	V
զի	զի	զի	I+Conj
առաջին	առաջին	առաջին	NUM+Ord
է	է	եմ	V
հաւատք։	հաւատք	հաւատ	N+Com
Մելինեայ	մելինեայ	Մելինէ	N+Ant
Հինգտասաներորդ	հինգտասաներորդ	հինգտասաներորդ	NUM+Ord
Դժուար	դժուար	դժուար	A
եւ	եւ	եւ	I+Conj
հազիւ	հազիւ	հազիւ	I+Adv
ցուցեր	ցուցեր	ցուցանեմ	V
ինձ	ինձ	ես	PRO+Per1s
զանձն	զանձն	զ@անձն	I+Prep@N+Com
քո,	քո	դու	PRO+Per2s
որում	որում	որ	PRO+Rel
ցանկայի	ցանկայի	ցանկամ	V
ի	ի	ի	I+Prep
վաղ	վաղ	վաղ	A
ժամանակաց․	ժամանակաց	ժամանակ	N+Com
եւ	եւ	եւ	I+Conj
ինչ	ինչ	ինչ (իրիք)	PRO+Ind
մի	մի	մի (միոջ)	NUM+Car
մեղադրեմ	մեղադրեմ	մեղադրեմ	V
ինձ՝	ինձ	ես	PRO+Per1s
յորժամ	յորժամ	յորժամ	I+Conj
արհամարհէի	արհամարհէի	արհամարհեմ	V
զգործն։	զգործն	զ@գործ@ն	I+Prep@N+Com@PRO+Dem
Եւ	եւ	եւ	I+Conj
արդ	արդ	արդ	I+Adv
բերես	բերես	բերեմ	V
ի	ի	ի	I+Prep
յիշատակ	յիշատակ	յիշատակ	N+Com
հոգեւոր	հոգեւոր	հոգեւոր	A
գանձուն,	գանձուն	գանձ@ն	N+Com@PRO+Dem
որ	որ	որ	PRO+Rel
է	է	եմ	V
արքայութիւն	արքայութիւն	արքայութիւն	N+Com
երկնից	երկնից	երկին	N+Com
ի	ի	ի	I+Prep
ներքս	ներքս	ներքս	I+Adv
ի	ի	ի	I+Prep
մեզ․	մեզ	մեք	PRO+Per1p
որ	որ	որ	PRO+Rel
ախտիւք	ախտիւք	ախտ	N+Com
է	է	եմ	V
թաքուցեալ,	թաքուցեալ	թաքուցանեմ	V
եւ	եւ	եւ	I+Conj
առանց	առանց	առանց	I+Prep
գործոյ	գործոյ	գործ	N+Com
ոչ	ոչ	ոչ	I+Neg
յայտնի։	յայտնի	յայտնեմ	V
Հայեա՛ց	հայեաց	հայիմ	V
այժմ	այժմ	այժմ	I+Adv
յանձն	յանձն	ի@անձն	I+Prep@N+Com
քո,	քո	դու	PRO+Per2s
եւ	եւ	եւ	I+Conj
նեղեա՛	նեղեա	նեղեմ	V
զորովայն	զորովայն	զ@որովայն	I+Prep@N+Com
քո,	քո	դու	PRO+Per2s
եւ	եւ	եւ	I+Conj
մղեա՛	մղեա	մղեմ	V
զմարտ	զմարտ	զ@մարտ	I+Prep@N+Com
բարկութեան	բարկութեան	բարկութիւն	N+Com
քո։	քո	դու	PRO+Per2s
Եւ	եւ	եւ	I+Conj
տե՛ս,	տես	տեսանեմ	V
որքա՞ն	որքան	որքան	A
վառի	վառի	վառեմ	V
լոյս	լոյս	լոյս	N+Com
քո․	քո	դու	PRO+Per2s
զոր	զոր	զ@որ	I+Prep@PRO+Rel
Եւագրն	եւագրն	Եւագր	N+Ant
քո	քո	դու	PRO+Per2s
բիւր	բիւր	բեւր	N+Com
հնարիւք	հնարիւք	հնար	N+Com
քեզ	քեզ	դու	PRO+Per2s
յայտնել	յայտնել	յայտնեմ	V
ոչ	ոչ	ոչ	I+Neg
կարէ։	կարէ	կարեմ	V
Եւագրեայ	եւագրեայ	Եւագրիոս	N+Ant
Առ	առ	առ (ի)	I+Prep
Եղբարսն	եղբարսն	եղբայր@ն	N+Com@PRO+Dem
Վեշտասաներորդ	վեշտասաներորդ	վեշտասաներորդ	NUM+Ord
Գրեմ	գրեմ	գրեմ	V
առ	առ	առ (ի)	I+Prep
քեզ	քեզ	դու	PRO+Per2s
եւ	եւ	եւ	I+Conj
առ	առ	առ (ի)	I+Prep
եղբարսդ	եղբարսդ	եղբայր@դ	N+Com@PRO+Dem
քո,	քո	դու	PRO+Per2s
եւ	եւ	եւ	I+Conj
ոչ	ոչ	ոչ	I+Neg
կամիմ	կամիմ	կամիմ	V
թէ	թէ	եթե	I+Conj
զանխլանայ	զանխլանայ	զանխլանամ	V
ի	ի	ի	I+Prep
մէնջ	մէնջ	մեք	PRO+Per1p
խորամանկութիւն	խորամանկութիւն	խորամանկութիւն	N+Com
դիւաց․	դիւաց	դեւ	N+Com
զի	զի	զի	I+Conj
ահա	ահա	ահա	I+Intj
գնայք	գնայք	գնամ	V
ընդ	ընդ	ընդ	I+Prep
ճանապարհ	ճանապարհ	ճանապարհ	N+Com
որ	որ	որ	PRO+Rel
դարան	դարան	դարան	N+Com
գործեալ	գործեալ	գործեմ	V
են	են	եմ	V
ձեզ․	ձեզ	դուք	PRO+Per2p
եւ	եւ	եւ	I+Conj
յորժամ	յորժամ	յորժամ	I+Conj
տեսանեն	տեսանեն	տեսանեմ	V
թիւրել	թիւրել	թիւրեմ	V
յաջ	յաջ	ի@աջ	I+Prep@N+Com
կամ	կամ	կամ (եւ)	I+Conj
յահեակ,	յահեակ	ի@ահեակ	I+Prep@N+Com
կամ	կամ	կամ (եւ)	I+Conj
ընդ	ընդ	ընդ	I+Prep
մէջն	մէջն	մէջ@ն	N+Com@PRO+Dem
գնացեալ․	գնացեալ	գնամ	V
հայի	հայի	հայիմ	V
դեւն	դեւն	դեւ@ն	N+Com@PRO+Dem
որկորոյ	որկորոյ	որկոր	N+Com
ի	ի	ի	I+Prep
պահողն,	պահողն	պահող@ն	N+Com@PRO+Dem
եթէ	եթէ	եթե	I+Conj
տրտմութիւն	տրտմութիւն	տրտմութիւն	N+Com
դիմացն՝	դիմացն	դէմ@ն	N+Com@PRO+Dem
զկարիքն	զկարիքն	զ@կարիք@ն	I+Prep@N+Com@PRO+Dem
յայտնէ,	յայտնէ	յայտնեմ	V
եւ	եւ	եւ	I+Conj
այդմ	այդմ	այդ	PRO+Dem
նման	նման	նման	A
այլս․	այլս	այլ (այլոց)	A
եւ	եւ	եւ	I+Conj
կամ	կամ	կամ (եւ)	I+Conj
ընդ	ընդ	ընդ	I+Prep
երկուս	երկուս	երկու	NUM+Car
բաժանեալ	բաժանեալ	բաժանեմ	V
է	է	եմ	V
կամաւք,	կամաւք	կամ (կամաց)	N+Com
ներքոյ	ներքոյ	ներքոյ	A
եւ	եւ	եւ	I+Conj
արտաքոյ․	արտաքոյ	արտաքոյ	I+AdvPr
եւ	եւ	եւ	I+Conj
թէ	թէ	եթե	I+Conj
ունկն	ունկն	ունկն	N+Com
դնէ	դնէ	դնեմ	V
գովել	գովել	գովեմ	V
զնա,	զնա	զ@նա (նա)	I+Prep@PRO+Dem
դեղին	դեղին	դեղին	A
եւ	եւ	եւ	I+Conj
գունատեալ	գունատեալ	գունատեմ	V
ասել։	ասել	ասեմ	V
Եւ	եւ	եւ	I+Conj
դեւն	դեւն	դեւ@ն	N+Com@PRO+Dem
պոռնկութեան	պոռնկութեան	պոռնկութիւն	N+Com
դիտէ	դիտէ	դիտեմ	V
զդիպուածսն․	զդիպուածսն	զ@դիպուած@ն	I+Prep@N+Com@PRO+Dem
յորժամ	յորժամ	յորժամ	I+Conj
դիպի	դիպի	դիպիմ	V
կին	կին	կին	N+Com
ի	ի	ի	I+Prep
տեսիլ	տեսիլ	տեսիլ	N+Com
կրաւնաւորին,	կրաւնաւորին	կրաւնաւոր@ն	N+Com@PRO+Dem
թէ	թէ	եթե	I+Conj
հայեցաւ	հայեցաւ	հայիմ	V
ի	ի	ի	I+Prep
նա	նա	նա (նա)	PRO+Dem
կամաւք,	կամաւք	կամ (կամաց)	N+Com
թէ	թէ	եթե	I+Conj
ըստ	ըստ	ըստ	I+Prep
դիպի․	դիպի	դէպ	N+Com
եւ	եւ	եւ	I+Conj
թէ	թէ	եթե	I+Conj
խաւսի՝	խաւսի	խաւսիմ	V
կշռէ	կշռէ	կշռեմ	V
զխաւսսն՝	զխաւսսն	զ@խաւս@ն	I+Prep@N+Com@PRO+Dem
թէ	թէ	եթե	I+Conj
ծաղո՞ւ	ծաղու	ծաղր	N+Com
է,	է	եմ	V
թէ	թէ	եթե	I+Conj
խրատու,	խրատու	խրատ	N+Com
դիտէ	դիտէ	դիտեմ	V
զաչսն,	զաչսն	զ@ակն@ն	I+Prep@N+Com@PRO+Dem
հայի	հայի	հայիմ	V
ի	ի	ի	I+Prep
գնացսն՝	գնացսն	գնացք@ն	N+Com@PRO+Dem
թէ	թէ	եթե	I+Conj
զբաւսնու	զբաւսնու	զբաւսմում	V
եւ	եւ	եւ	I+Conj
սիգայ․	սիգայ	սիգամ	V
եւ	եւ	եւ	I+Conj
ի	ի	ի	I+Prep
վարքն՝	վարքն	վարք@ն	N+Com@PRO+Dem
թէ	թէ	եթե	I+Conj
թոյլ	թոյլ	թոյլ	A
իցէ,	իցէ	եմ	V
աղաղակեն	աղաղակեն	աղաղակեմ	V
ամենայն	ամենայն	ամենայն	PRO+Ind
ախտքն։	ախտքն	ախտ@ն	N+Com@PRO+Dem
Եւ	եւ	եւ	I+Conj
հայի	հայի	հայիմ	V
ի	ի	ի	I+Prep
հանդերձսն՝	հանդերձսն	հանդերձ (հանդերձից)@ն	N+Com@PRO+Dem
թէ	թէ	եթե	I+Conj
հաւասարապէս	հաւասարապէս	հաւասարապէս	I+Adv
ագանի,	ագանի	ագանիմ	V
թէ	թէ	եթե	I+Conj
ի	ի	ի	I+Prep
տեսիլս	տեսիլս	տեսիլ	N+Com
այլոց	այլոց	այլ (այլոց)	A
փոխէ։	փոխէ	փոխեմ	V
Եւ	եւ	եւ	I+Conj
դեւն	դեւն	դեւ@ն	N+Com@PRO+Dem
արծաթսիրութեան	արծաթսիրութեան	արծաթսիրութիւն	N+Com
դիտէ՝	դիտէ	դիտեմ	V
թէ	թէ	եթե	I+Conj
մերձիմք	մերձիմք	մերձիմ	V
առ	առ	առ (ի)	I+Prep
մեծատունս,	մեծատունս	մեծատուն	A
եւ	եւ	եւ	I+Conj
զի՛նչ	զինչ	զ@ինչ (իրիք)	I+Prep@PRO+Ind
ասեմք,	ասեմք	ասեմ	V
եւ	եւ	եւ	I+Conj
զի՛նչ	զինչ	զ@ինչ (իրիք)	I+Prep@PRO+Ind
գործեմք։	գործեմք	գործեմ	V
Թէ	թէ	եթե	I+Conj
աղերսեմք	աղերսեմք	աղերսեմ	V
ինչ	ինչ	ինչ (իրիք)	PRO+Ind
առնուլ	առնուլ	առնում	V
կամելով․	կամելով	կամիմ	V
եւ	եւ	եւ	I+Conj
թէ	թէ	եթե	I+Conj
պատմեմք	պատմեմք	պատմեմ	V
զչքաւորութենէ,	զչքաւորութենէ	զ@չքաւորութիւն	I+Prep@N+Com
իբր	իբր	իբր	I+Conj
թէ	թէ	եթե	I+Conj
աղքատք	աղքատք	աղքատ	A
նեղեն	նեղեն	նեղեմ	V
զմեզ՝	զմեզ	զ@մեք	I+Prep@PRO+Per1p
կամիմք	կամիմք	կամիմ	V
գնալ	գնալ	գնամ	V
ի	ի	ի	I+Prep
տեղւոյն	տեղւոյն	տեղի@ն	N+Com@PRO+Dem
մեր,	մեր	մեք	PRO+Per1p
եթէ	եթէ	եթե	I+Conj
զմեծատունս	զմեծատունս	զ@մեծատուն	I+Prep@A
խնդութեամբ,	խնդութեամբ	խնդութիւն	N+Com
եւ	եւ	եւ	I+Conj
զաղքատսն	զաղքատսն	զ@աղքատ@ն	I+Prep@A@PRO+Dem
տրտմութեամբ	տրտմութեամբ	տրտմութիւն	N+Com
ընդունիմք։	ընդունիմք	ընդունիմ	V
Իսկ	իսկ	իսկ	I+Conj
դեւն	դեւն	դեւ@ն	N+Com@PRO+Dem
սնափառութեան	սնափառութեան	սնափառութիւն	N+Com
դիտէ	դիտէ	դիտեմ	V
զխաւսս,	զխաւսս	զ@խաւս	I+Prep@N+Com
զգործս․	զգործս	զ@գործ	I+Prep@N+Com
թէ	թէ	եթե	I+Conj
յաւժարի՞	յաւժարի	յաւժարիմ	V
ի	ի	ի	I+Prep
փառս	փառս	փառք	N+Com
քահանայութեան,	քահանայութեան	քահանայութիւն	N+Com
կամ	կամ	կամ (եւ)	I+Conj
ակն	ակն	ակն	N+Com
ունիցի	ունիցի	ունիմ	V
կոչիլ	կոչիլ	կոչեմ	V
ի	ի	ի	I+Prep
հանգիստ՝	հանգիստ	հանգիստ	N+Com
իբր	իբր	իբր	I+Conj
ի	ի	ի	I+Prep
դժուար	դժուար	դժուար	A
վաստակոյ․	վաստակոյ	վաստակ	N+Com
եւ	եւ	եւ	I+Conj
թէ	թէ	եթե	I+Conj
հեծեմք	հեծեմք	հեծեմ	V
իբրեւ	իբրեւ	իբրեւ	I+Conj
աշխատեալք	աշխատեալք	աշխատեմ	V
գովութեան	գովութեան	գովութիւն	N+Com
վասն,	վասն	վասն	I+Prep
կամ	կամ	կամ (եւ)	I+Conj
պատմեմք	պատմեմք	պատմեմ	V
զպատահեալսն	զպատահեալսն	զ@պատահեմ@ն	I+Prep@V@PRO+Dem
ի	ի	ի	I+Prep
խրճիթսն	խրճիթսն	խրճիթ@ն	N+Com@PRO+Dem
մեր	մեր	մեք	PRO+Per1p
զպատերազմն	զպատերազմն	զ@պատերազմ@ն	I+Prep@N+Com@PRO+Dem
դիւաց,	դիւաց	դեւ	N+Com
կամ	կամ	կամ (եւ)	I+Conj
զտեսիլ	զտեսիլ	զ@տեսիլ	I+Prep@N+Com
հրեշտակաց․	հրեշտակաց	հրեշտակ	N+Com
եւ	եւ	եւ	I+Conj
ո՞	ո	ո՞	PRO+Int
կարէ	կարէ	կարեմ	V
թուել	թուել	թուեմ	V
զհնարս	զհնարս	զ@հնար	I+Prep@A
նոցա։	նոցա	նա (նա)	PRO+Dem
Տէրն	տէրն	տէր@ն	N+Com@PRO+Dem
հայեցեալ	հայեցեալ	հայիմ	V
ի	ի	ի	I+Prep
ճշմարիտն,	ճշմարիտն	ճշմարիտ@ն	A@PRO+Dem
ասաց	ասաց	ասեմ	V
մեզ՝	մեզ	մեք	PRO+Per1p
լինել	լինել	լինիմ	V
իբրեւ	իբրեւ	իբրեւ	I+Conj
զաւձս	զաւձս	զ@աւձ	I+Prep@N+Com
եւ	եւ	եւ	I+Conj
զաղաւնիս։	զաղաւնիս	զ@աղաւնի	I+Prep@N+Com
Ապա	ապա	ապա	I+Adv
պարտ	պարտ	պարտ	N+Com
է	է	եմ	V
հեզ	հեզ	հեզ	A
լինել	լինել	լինիմ	V
եւ	եւ	եւ	I+Conj
պատերազմող․	պատերազմող	պատերազմող	N+Com
եւ	եւ	եւ	I+Conj
արթուն	արթուն	արթուն	A
պարտ	պարտ	պարտ	N+Com
է	է	եմ	V
լինել	լինել	լինիմ	V
դէտն	դէտն	դէտ@ն	N+Com@PRO+Dem
նորա,	նորա	նա (նա)	PRO+Dem
եւ	եւ	եւ	I+Conj
կիրթ	կիրթ	կիրթ	A
խորամանկութեան	խորամանկութեան	խորամանկութիւն	N+Com
դիւացն․	դիւացն	դեւ@ն	N+Com@PRO+Dem
եւ	եւ	եւ	I+Conj
պահել	պահել	պահեմ	V
զգլուխս	զգլուխս	զ@գլուխ	I+Prep@N+Com
աւձից․	աւձից	աւձ	N+Com
եւ	եւ	եւ	I+Conj
կարէ	կարէ	կարեմ	V
ասել,	ասել	ասեմ	V
թէ	թէ	եթե	I+Conj
Ո՛չ	ոչ	ոչ	I+Neg
թաքեաւ	թաքեաւ	թաքչիմ	V
յինէն	յինէն	ի@ես	I+Prep@PRO+Per1s
խորամանկութիւն	խորամանկութիւն	խորամանկութիւն	N+Com
դիւաց․	դիւաց	դեւ	N+Com
եւ	եւ	եւ	I+Conj
ետես	ետես	տեսանեմ	V
ակն	ակն	ակն	N+Com
իմ	իմ	ես	PRO+Per1s
ի	ի	ի	I+Prep
թշնամիս	թշնամիս	թշնամի	A
իմ,	իմ	ես	PRO+Per1s
եւ	եւ	եւ	I+Conj
ի	ի	ի	I+Prep
նոսա	նոսա	նա (նա)	PRO+Dem
լուիցէ	լուիցէ	լսեմ	V
ունկն	ունկն	ունկն	N+Com
իմ։	իմ	ես	PRO+Per1s
Եւագրեայ	եւագրեայ	Եւագրիոս	N+Ant
Եօթնեւտասներորդ	եօթնեւտասներորդ	եւթնեւտասներորդ	NUM+Ord
Պարտ	պարտ	պարտ	N+Com
է	է	եմ	V
ճանապարհորդաց	ճանապարհորդաց	ճանապարհորդ	N+Com
ստանալ	ստանալ	ստանամ	V
զնա,	զնա	զ@նա (նա)	I+Prep@PRO+Dem
որ	որ	որ	PRO+Rel
ասացն․	ասացն	ասեմ@ն	V@PRO+Dem
Ես	ես	ես	PRO+Per1s
եմ	եմ	եմ	V
ճանապարհ։	ճանապարհ	ճանապարհ	N+Com
Եւ	եւ	եւ	I+Conj
պարտ	պարտ	պարտ	N+Com
է	է	եմ	V
ուսանել	ուսանել	ուսանիմ	V
ի	ի	ի	I+Prep
նախընթացելոցն	նախընթացելոցն	նախընթանամ@ն	V@PRO+Dem
եւ	եւ	եւ	I+Conj
հարցանել	հարցանել	հարցանեմ	V
ի	ի	ի	I+Prep
նոցանէ,	նոցանէ	նա (նա)	PRO+Dem
եւ	եւ	եւ	I+Conj
լսել	լսել	լսեմ	V
զաւգտակարն,	զաւգտակարն	զ@աւգտակար@ն	I+Prep@A@PRO+Dem
եւ	եւ	եւ	I+Conj
չածել	չածել	ոչ@ածեմ	I+Neg@V
աւտար	աւտար	աւտար	A
ինչ	ինչ	ինչ (իրիք)	PRO+Ind
ի	ի	ի	I+Prep
յընթացս	յընթացս	ի@ընթաց@ս	I+Prep@N+Com@PRO+Dem
մեր․	մեր	մեք	PRO+Per1p
եւ	եւ	եւ	I+Conj
պատրաստ	պատրաստ	պատրաստ	A
լինել	լինել	լինիմ	V
իմացուածոց	իմացուածոց	իմացուած	N+Com
մերոց։	մերոց	մեր	PRO+Pos1p
Քանզի	քանզի	քանզի	I+Conj
է՛	է	եմ	V
խորհուրդ	խորհուրդ	խորհուրդ	N+Com
չար՝	չար	չար	A
որ	որ	որ	PRO+Rel
ի	ի	ի	I+Prep
մէջ	մէջ	մէջ	N+Com
ճանապարհին	ճանապարհին	ճանապարհ@ն	N+Com@PRO+Dem
է	է	եմ	V
գործել	գործել	գործեմ	V
դարան,	դարան	դարան	N+Com
եւ	եւ	եւ	I+Conj
է	է	եմ	V
որ	որ	որ	PRO+Rel
արտաքոյ։	արտաքոյ	արտաքոյ	I+AdvPr
Այն	այն	այն	PRO+Dem
որ	որ	որ	PRO+Rel
ի	ի	ի	I+Prep
մէջն	մէջն	մէջ@ն	N+Com@PRO+Dem
է,	է	եմ	V
ոչ	ոչ	ոչ	I+Neg
արգելու	արգելու	արգելում	V
պահել	պահել	պահեմ	V
զպատուիրանսն,	զպատուիրանսն	զ@պատուիրան@ն	I+Prep@N+Com@PRO+Dem
այլ	այլ	այլ (եւ)	I+Conj
յորդորեն	յորդորեն	յորդորեմ	V
յառաւելն՝	յառաւելն	ի@առաւել@ն	I+Prep@I+Adv@PRO+Dem
ի	ի	ի	I+Prep
հաճոյս	հաճոյս	հաճոյ	A
մարդկան,	մարդկան	մարդիկ	N+Com
եւ	եւ	եւ	I+Conj
ապականեն	ապականեն	ապականեմ	V
զգործսն։	զգործսն	զ@գործ@ն	I+Prep@N+Com@PRO+Dem
Եւ	եւ	եւ	I+Conj
որ	որ	որ	PRO+Rel
արտաքոյ	արտաքոյ	արտաքոյ	I+AdvPr
է,	է	եմ	V
ջանայ	ջանայ	ջանամ	V
արտաքս	արտաքս	արտաքս	I+Adv
քարշել	քարշել	քարշեմ	V
զմեզ։	զմեզ	զ@մեք	I+Prep@PRO+Per1p
Այլ	այլ	այլ (եւ)	I+Conj
մեզ	մեզ	մեք	PRO+Per1p
պարտ	պարտ	պարտ	N+Com
է	է	եմ	V
վասն	վասն	վասն	I+Prep
Տեառն	տեառն	տէր	N+Com
զամենայն	զամենայն	զ@ամենայն	I+Prep@PRO+Ind
ինչ	ինչ	ինչ (իրիք)	PRO+Ind
գործել	գործել	գործեմ	V
ժրութեամբ,	ժրութեամբ	ժրութիւն	N+Com
եւ	եւ	եւ	I+Conj
զուարճութեամբ․	զուարճութեամբ	զուարճութիւն	N+Com
զի	զի	զի	I+Conj
զի՞նչ	զինչ	զ@ի՞նչ	I+Prep@PRO+Int
աւգուտ	աւգուտ	աւգուտ	N+Com
է	է	եմ	V
թէ	թէ	եթե	I+Conj
մերկացաք	մերկացաք	մերկանամ	V
զագահութիւն՝	զագահութիւն	զ@ագահութիւն	I+Prep@N+Com
ողորմելովն,	ողորմելովն	ողորմիմ@ն	V@PRO+Dem
եւ	եւ	եւ	I+Conj
զախտն	զախտն	զ@ախտ@ն	I+Prep@N+Com@PRO+Dem
որովայնի՝	որովայնի	որովայն	N+Com
առաքինութեամբ․	առաքինութեամբ	առաքինութիւն	N+Com
եւ	եւ	եւ	I+Conj
զգենումք	զգենումք	զգենում	V
այլ	այլ	այլ (այլոց)	A
ախտս	ախտս	ախտ	N+Com
տրտմութեամբ	տրտմութեամբ	տրտմութիւն	N+Com
եւ	եւ	եւ	I+Conj
տրտնջմամբ	տրտնջմամբ	տրտնջումն	N+Com
եւ	եւ	եւ	I+Conj
սնափառութեամբ․	սնափառութեամբ	սնափառութիւն	N+Com
եւ	եւ	եւ	I+Conj
պատահեն	պատահեն	պատահեմ	V
մեզ	մեզ	մեք	PRO+Per1p
ի	ի	ի	I+Prep
ժամ	ժամ	ժամ	N+Com
աղաւթիցն,	աղաւթիցն	աղաւթք@ն	N+Com@PRO+Dem
որ	որ	որ	PRO+Rel
նախ	նախ	նախ	I+Adv
քան	քան	քան	I+Conj
զնոսա։	զնոսա	զ@նա (նա)	I+Prep@PRO+Dem
Զի	զի	զի	I+Conj
ամենայն	ամենայն	ամենայն	PRO+Ind
հնարք	հնարք	հնար	N+Com
թշնամւոյն	թշնամւոյն	թշնամի@ն	A@PRO+Dem
այն	այն	այն	PRO+Dem
է,	է	եմ	V
զի	զի	զի	I+Conj
զրկեսցէ	զրկեսցէ	զրկեմ	V
զմեզ	զմեզ	զ@մեք	I+Prep@PRO+Per1p
ի	ի	ի	I+Prep
լուսոյ	լուսոյ	լոյս	N+Com
աղաւթիցն։	աղաւթիցն	աղաւթք@ն	N+Com@PRO+Dem
Վասն	վասն	վասն	I+Prep
որոյ	որոյ	որ	PRO+Rel
աղաղակէ	աղաղակէ	աղաղակեմ	V
Դաւիթ․	դաւիթ	Դաւիթ	N+Ant
Ի	ի	ի	I+Prep
ճանապարհ	ճանապարհ	ճանապարհ	N+Com
յոր	յոր	ի@որ	I+Prep@PRO+Rel
եւ	եւ	եւ	I+Conj
գնայի,	գնայի	գնամ	V
թաքուցին	թաքուցին	թաքուցանեմ	V
ինձ	ինձ	ես	PRO+Per1s
որոգայթ․	որոգայթ	որոգայթ	N+Com
եւ	եւ	եւ	I+Conj
ա՛յլ	այլ	այլ (այլոց)	A
թէ՝	թէ	եթե	I+Conj
Լարս	լարս	լար	N+Com
ձգեցին	ձգեցին	ձգեմ	V
ոտից	ոտից	ոտն	N+Com
իմոց	իմոց	իմ	PRO+Pos1s
շուրջ	շուրջ	շուրջ	I+AdvPr
զշաւղաւք։	զշաւղաւք	զ@շաւիղ	I+Prep@N+Com
Եւագրեայ	եւագրեայ	Եւագրիոս	N+Ant
Ութեւտասներորդ	ութեւտասներորդ	ութեւտասներորդ	NUM+Ord
Դիւական	դիւական	դիւական	A
խորհրդոցն	խորհրդոցն	խորհուրդ@ն	N+Com@PRO+Dem
երեք	երեք	երեք	NUM+Car
են	են	եմ	V
հակառակ․	հակառակ	հակառակ	A
առաջին՝	առաջին	առաջին	NUM+Ord
սուրբ	սուրբ	սուրբ	A
հրեշտակքն	հրեշտակքն	հրեշտակ@ն	N+Com@PRO+Dem
ծածկապէս․	ծածկապէս	ծածկապէս	I+Adv
երկրորդ՝	երկրորդ	երկրորդ	NUM+Ord
որ	որ	որ	PRO+Rel
ի	ի	ի	I+Prep
կամաց	կամաց	կամ (կամաց)	N+Com
մերոց	մերոց	մեր	PRO+Pos1p
գամք	գամք	գամ (գալ)	V
առ	առ	առ (ի)	I+Prep
պատշաճն՝	պատշաճն	պատշաճ@ն	A@PRO+Dem
իմաստիւք	իմաստիւք	իմաստ	N+Com
եւ	եւ	եւ	I+Conj
կամ	կամ	կամ (եւ)	I+Conj
երկիւղիւ․	երկիւղիւ	երկիւղ	N+Com
երրորդ՝	երրորդ	երրորդ	NUM+Ord
բնական	բնական	բնական	A
բարին,	բարին	բարի@ն	A@PRO+Dem
որով	որով	որ	PRO+Rel
եւ	եւ	եւ	I+Conj
աւրէնքն	աւրէնքն	աւրէն@ն	N+Com@PRO+Dem
շարժին։	շարժին	շարժեմ	V
Բարւոյն	բարւոյն	բարի	A
երկու	երկու	երկու	NUM+Car
են	են	եմ	V
հակառակ․	հակառակ	հակառակ	A
մին՝	մին	մին	N+Com
ի	ի	ի	I+Prep
դիւաց,	դիւաց	դեւ	N+Com
եւ	եւ	եւ	I+Conj
